Date,ITUB4_BRL,PETR4_BRL,USD_BRL,VALE3_BRL,WEGE3_BRL,IBOV_PONTOS,SP500_BRL,DOWJONES_BRL
2021-03-01,16.02849769592285,6.317828178405762,5.597599983215332,56.96866226196289,34.874515533447266,110335.0,21840.827949157683,176523.16893474944
2021-03-02,16.675588607788086,6.314957141876221,5.640699863433838,58.719844818115234,34.45423889160156,111540.0,21831.144494789187,177070.13993290253
2021-03-03,16.714420318603516,6.08521842956543,5.675099849700928,57.997406005859375,34.42741394042969,111184.0,21677.292231636937,177460.88217240013
2021-03-04,17.238569259643555,6.381007671356201,5.617499828338623,57.13626480102539,32.741817474365234,112690.0,21169.37941352406,173716.35465245694
2021-03-05,17.879186630249023,6.429826736450195,5.668300151824951,60.52564239501953,32.6568603515625,115202.0,21777.26875317539,178530.4865002837
2021-03-08,17.30974006652832,6.059371471405029,5.689499855041504,60.19947052001953,30.91761589050293,110612.0,21741.57082667807,180939.9746585209
2021-03-09,17.54917335510254,6.20008659362793,5.874599933624268,59.59549331665039,31.968324661254883,111331.0,22766.65922254999,187004.61366793793
2021-03-10,17.6785945892334,6.415467262268066,5.801499843597412,58.677433013916016,32.31705093383789,112776.0,22618.945945147658,187371.15375920944
2021-03-11,17.704471588134766,6.688284873962402,5.67110013961792,60.217594146728516,32.15610122680664,114984.0,22340.392122438992,184229.0330984611
2021-03-12,17.58799934387207,6.653820991516113,5.534800052642822,58.828433990478516,31.811832427978516,114160.0,21825.598926045583,181423.22185681015
2021-03-15,17.795066833496094,6.791665077209473,5.4951558113098145,58.47811508178711,32.73733901977539,114851.0,21809.94338375819,181084.4023734741
2021-03-16,17.432693481445312,6.685412883758545,5.614500045776367,58.29087448120117,32.81782913208008,114019.0,22248.63525708206,184301.29339132458
2021-03-17,18.11214828491211,6.915149211883545,5.6234002113342285,59.13042449951172,32.72393035888672,116549.0,22348.067906859796,185658.64478587173
2021-03-18,18.215682983398438,6.673923015594482,5.583099842071533,58.07947540283203,32.10691452026367,114835.0,21860.403889547568,183473.5063019041
2021-03-19,18.254499435424805,6.892177581787109,5.558700084686279,57.24597930908203,32.16951370239258,116222.0,21751.749844227685,181369.10351060238
2021-03-22,18.3580322265625,6.75433349609375,5.493563175201416,56.2977294921875,31.87889289855957,114979.0,21647.88059539965,179810.91070830636
2021-03-23,17.892127990722656,6.547567367553711,5.505499839782715,54.999141693115234,32.01750183105469,113262.0,21529.367340996396,178505.6492808368
2021-03-24,17.581527709960938,6.553311347961426,5.520400047302246,56.261474609375,31.5301456451416,112064.0,21469.608046953334,178971.70377651043
2021-03-25,17.892127990722656,6.662438869476318,5.61959981918335,55.83266067504883,31.776065826416016,113750.0,21969.937994851498,183308.4265440423
2021-03-26,18.197237014770508,6.73710298538208,5.648399829864502,57.6989631652832,32.522727966308594,114781.0,22449.791280430276,186808.84358719178
2021-03-29,18.190759658813477,6.843357086181641,5.752399921417236,59.178741455078125,32.25157165527344,115419.0,22843.298309522797,190814.99247298948
2021-03-30,18.488967895507812,6.843357086181641,5.780799865722656,58.62910842895508,33.57115936279297,116850.0,22883.58559072204,191153.48334735632
2021-03-31,18.132415771484375,6.920894145965576,5.771599769592285,59.172698974609375,33.35197448730469,116634.0,22929.930388619425,190356.31088985875
2021-04-01,17.577836990356445,6.860586643218994,5.63129997253418,58.822391510009766,33.575626373291016,115253.0,22637.09448050894,186695.67584176362
2021-04-02,17.577836990356445,6.860586643218994,5.707399845123291,58.822391510009766,33.575626373291016,115253.0,22943.006084251683,189218.6309700273
2021-04-05,17.804853439331055,6.903664588928223,5.710599899291992,62.44630432128906,34.40317153930664,117518.0,23287.311933413614,191460.3758680746
2021-04-06,17.5972900390625,6.89792013168335,5.662700176239014,61.63697052001953,34.4881591796875,117499.0,23069.50042418833,189305.4162069466
2021-04-07,17.44161605834961,6.892177581787109,5.593200206756592,63.15296936035156,34.06768035888672,117624.0,22819.976910451078,187071.63796054758
2021-04-08,17.305404663085938,6.806024074554443,5.612100124359131,63.11674499511719,34.20187759399414,118313.0,22993.727828075178,188025.39111725613
